date,month,month_label,region,category,channel,revenue,cost,orders,returns,rating,marketing_spend,gross_profit,gross_margin
2025-01-01,1,JAN,East,Beauty,Marketplace,129604,67264,62,2,4.33,9850,62340,48.1
2025-01-01,1,JAN,East,Electronics,Marketplace,216828,160236,35,2,4.09,16479,56592,26.1
2025-01-01,1,JAN,East,Fitness,Retail,111780,64721,40,1,4.45,8495,47059,42.1
2025-01-01,1,JAN,East,Grocery,Direct,147428,103052,102,2,4.29,10173,44376,30.1
2025-01-01,1,JAN,East,Home,Retail,166821,103262,48,2,4.21,12678,63559,38.1
2025-01-01,1,JAN,North,Beauty,Marketplace,149321,74810,71,2,4.33,11348,74511,49.9
2025-01-01,1,JAN,North,Electronics,Marketplace,260240,187633,42,2,4.09,19778,72607,27.9
2025-01-01,1,JAN,North,Fitness,Retail,126477,70954,45,1,4.45,9612,55523,43.9
2025-01-01,1,JAN,North,Grocery,Direct,172165,117244,119,2,4.29,11879,54921,31.9
2025-01-01,1,JAN,North,Home,Retail,196980,118385,56,2,4.21,14970,78595,39.9
2025-01-01,1,JAN,South,Beauty,Direct,139730,71681,67,2,4.37,9641,68049,48.7
2025-01-01,1,JAN,South,Electronics,Direct,237725,174252,38,2,4.13,16403,63473,26.7
2025-01-01,1,JAN,South,Fitness,Marketplace,119624,68545,43,1,4.41,9091,51079,42.7
2025-01-01,1,JAN,South,Grocery,Retail,159835,110766,110,2,4.29,12147,49069,30.7
2025-01-01,1,JAN,South,Home,Marketplace,181694,111378,52,2,4.17,13809,70316,38.7
2025-01-01,1,JAN,West,Beauty,Retail,165847,84084,79,2,4.37,12604,81763,49.3
2025-01-01,1,JAN,West,Electronics,Retail,287537,209039,46,2,4.13,21853,78498,27.3
2025-01-01,1,JAN,West,Fitness,Direct,140721,79789,50,2,4.45,9710,60932,43.3
2025-01-01,1,JAN,West,Grocery,Marketplace,190973,131198,132,3,4.25,14514,59775,31.3
2025-01-01,1,JAN,West,Home,Direct,218253,132480,62,2,4.21,15059,85773,39.3
2025-02-01,2,FEB,East,Beauty,Retail,127203,66018,61,2,4.38,9667,61185,48.1
2025-02-01,2,FEB,East,Electronics,Retail,212487,157028,34,2,4.14,16149,55459,26.1
2025-02-01,2,FEB,East,Fitness,Direct,109790,63568,39,1,4.46,7576,46222,42.1
2025-02-01,2,FEB,East,Grocery,Marketplace,144616,101087,100,2,4.26,10991,43529,30.1
2025-02-01,2,FEB,East,Home,Direct,163566,101247,47,2,4.22,11286,62319,38.1
2025-02-01,2,FEB,North,Beauty,Retail,146306,73299,70,2,4.38,11119,73007,49.9
2025-02-01,2,FEB,North,Electronics,Retail,254789,183703,41,2,4.14,19364,71086,27.9
2025-02-01,2,FEB,North,Fitness,Direct,123978,69552,44,1,4.46,8554,54426,43.9
2025-02-01,2,FEB,North,Grocery,Marketplace,168634,114840,116,2,4.26,12816,53794,31.9
2025-02-01,2,FEB,North,Home,Direct,192892,115928,55,2,4.22,13310,76964,39.9
2025-02-01,2,FEB,South,Beauty,Marketplace,137050,70307,65,2,4.34,10416,66743,48.7
2025-02-01,2,FEB,South,Electronics,Marketplace,232879,170700,38,2,4.1,17699,62179,26.7
2025-02-01,2,FEB,South,Fitness,Retail,117403,67272,42,1,4.46,8923,50131,42.7
2025-02-01,2,FEB,South,Grocery,Direct,156697,108591,108,2,4.3,10812,48106,30.7
2025-02-01,2,FEB,South,Home,Retail,178059,109150,51,2,4.22,13532,68909,38.7
2025-02-01,2,FEB,West,Beauty,Direct,162553,82414,77,2,4.38,11216,80139,49.3
2025-02-01,2,FEB,West,Electronics,Direct,281581,204709,45,2,4.14,19429,76872,27.3
2025-02-01,2,FEB,West,Fitness,Marketplace,137991,78241,49,2,4.42,10487,59750,43.3
2025-02-01,2,FEB,West,Grocery,Retail,187115,128548,129,2,4.3,14221,58567,31.3
2025-02-01,2,FEB,West,Home,Marketplace,213785,129767,61,2,4.18,16248,84018,39.3
2025-03-01,3,MAR,East,Beauty,Direct,137187,71200,65,2,4.4,9466,65987,48.1
2025-03-01,3,MAR,East,Electronics,Direct,230542,170371,37,2,4.16,15907,60171,26.1
2025-03-01,3,MAR,East,Fitness,Marketplace,118065,68360,42,1,4.44,8973,49705,42.1
2025-03-01,3,MAR,East,Grocery,Retail,156310,109261,108,2,4.32,11880,47049,30.1
2025-03-01,3,MAR,East,Home,Marketplace,177106,109629,51,2,4.2,13460,67477,38.1
2025-03-01,3,MAR,North,Beauty,Direct,158845,79581,76,2,4.4,10960,79264,49.9
2025-03-01,3,MAR,North,Electronics,Direct,277462,200050,45,2,4.16,19145,77412,27.9
2025-03-01,3,MAR,North,Fitness,Marketplace,134370,75382,48,2,4.44,10212,58988,43.9
2025-03-01,3,MAR,North,Grocery,Retail,183319,124840,126,2,4.32,13932,58479,31.9
2025-03-01,3,MAR,North,Home,Marketplace,209896,126147,60,2,4.2,15952,83749,39.9
2025-03-01,3,MAR,South,Beauty,Retail,148195,76024,71,2,4.4,11263,72171,48.7
2025-03-01,3,MAR,South,Electronics,Retail,253033,185473,41,2,4.16,19231,67560,26.7
2025-03-01,3,MAR,South,Fitness,Direct,126640,72565,45,1,4.48,8738,54075,42.7
2025-03-01,3,MAR,South,Grocery,Marketplace,169751,117637,117,2,4.28,12901,52114,30.7
2025-03-01,3,MAR,South,Home,Direct,193174,118416,55,2,4.24,13329,74758,38.7
2025-03-01,3,MAR,West,Beauty,Marketplace,176253,89360,84,2,4.36,13395,86893,49.3
2025-03-01,3,MAR,West,Electronics,Marketplace,306353,222719,49,2,4.12,23283,83634,27.3
2025-03-01,3,MAR,West,Fitness,Retail,149345,84679,53,2,4.48,11350,64666,43.3
2025-03-01,3,MAR,West,Grocery,Direct,203160,139571,140,3,4.32,14018,63589,31.3
2025-03-01,3,MAR,West,Home,Retail,232364,141045,66,2,4.24,17660,91319,39.3
2025-04-01,4,APR,East,Beauty,Marketplace,142323,73866,68,2,4.37,10817,68457,48.1
2025-04-01,4,APR,East,Electronics,Marketplace,239828,177233,39,2,4.13,18227,62595,26.1
2025-04-01,4,APR,East,Fitness,Retail,122321,70824,44,1,4.49,9296,51497,42.1
2025-04-01,4,APR,East,Grocery,Direct,162325,113465,112,2,4.33,11200,48860,30.1
2025-04-01,4,APR,East,Home,Retail,184071,113940,53,2,4.25,13989,70131,38.1
2025-04-01,4,APR,North,Beauty,Marketplace,165294,82812,79,2,4.37,12562,82482,49.9
2025-04-01,4,APR,North,Electronics,Marketplace,289123,208458,47,2,4.13,21973,80665,27.9
2025-04-01,4,APR,North,Fitness,Retail,139715,78380,50,2,4.49,10618,61335,43.9
2025-04-01,4,APR,North,Grocery,Direct,190873,129985,132,2,4.33,13170,60888,31.9
2025-04-01,4,APR,North,Home,Retail,218642,131404,62,2,4.25,16617,87238,39.9
2025-04-01,4,APR,South,Beauty,Direct,153928,78965,73,2,4.41,10621,74963,48.7
2025-04-01,4,APR,South,Electronics,Direct,263398,193071,42,2,4.17,18174,70327,26.7
2025-04-01,4,APR,South,Fitness,Marketplace,131391,75287,47,2,4.45,9986,56104,42.7
2025-04-01,4,APR,South,Grocery,Retail,176465,122290,122,2,4.33,13411,54175,30.7
